link,name,rating,reviews,categories,tripadvisor_entity_id,province,new_province,tọa độ,vị trí
https://www.tripadvisor.com.vn/Attraction_Review-g293924-d311064-Reviews-Ho_Chi_Minh_Mausoleum-Hanoi.html,Lăng Chủ Tịch Hồ Chí Minh,3.9,11890,"[{""id"":11051,""name"":""Địa điểm lịch sử""}]",311064,Hà Nội,Hà Nội,"21.0368973, 105.8346667","1 Hùng Vương, Điện Biên, Ba Đình, Hà Nội, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g293924-d311083-Reviews-Temple_of_Literature_National_University-Hanoi.html,Văn Miếu – Quốc Tử Giám,4.3,11284,"[{""id"":11051,""name"":""Địa điểm lịch sử""},{""id"":11160,""name"":""Điểm thu hút khách tham quan & thắng cảnh""}]",311083,Hà Nội,Hà Nội,"21.0281175, 105.8356692","58 Quốc Tử Giám, Văn Miếu – Quốc Tử Giám, Đống Đa, Hà Nội, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g293924-d311069-Reviews-Hoa_Lo_Prison-Hanoi.html,Nhà tù Hỏa Lò,4.2,10983,"[{""id"":11051,""name"":""Địa điểm lịch sử""}]",311069,Hà Nội,Hà Nội,"21.0253297, 105.8464781","1 P. Hoả Lò, Trần Hưng Đạo, Hoàn Kiếm, Hà Nội, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g21375824-d447352-Reviews-Vietnam_Museum_of_Ethnology-Cau_Giay_Hanoi.html,Bảo tàng Dân tộc học Việt Nam,4.4,6650,"[{""id"":11063,""name"":""Viện bảo tàng lịch sử""}]",447352,Hà Nội,Hà Nội,"21.040342199999998, 105.7987354","Đ. Nguyễn Văn Huyên, Quan Hoa, Cầu Giấy, Hà Nội 100000, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g293924-d447354-Reviews-Vietnamese_Women_s_Museum-Hanoi.html,Bảo tàng Phụ nữ Việt Nam,4.5,5332,"[{""id"":11158,""name"":""Viện bảo tàng chuyên ngành""}]",447354,Hà Nội,Hà Nội,"21.0233734, 105.8515539","36 P. Lý Thường Kiệt, Trần Hưng Đạo, Hoàn Kiếm, Hà Nội, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8692931-Reviews-Serene_Spa_Hanoi-Hanoi.html,Serene Spa,5,3552,"[{""id"":11139,""name"":""Spa""},{""id"":11245,""name"":""Spa nước nóng""}]",8692931,Hà Nội,Hà Nội,"21.0347922, 105.8533442","68 Mã Mây, Hàng Buồm, Hoàn Kiếm, Hà Nội 100000, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g293924-d311082-Reviews-St_Joseph_s_Cathedral-Hanoi.html,Nhà Thờ Lớn,4,3043,"[{""id"":11160,""name"":""Điểm thu hút khách tham quan & thắng cảnh""},{""id"":11045,""name"":""Địa điểm tôn giáo""}]",311082,Hà Nội,Hà Nội,"21.0285957, 105.8488606","1 P. Nhà Thờ, Hàng Trống, Hoàn Kiếm, Hà Nội 100000, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g293924-d455005-Reviews-Vietnam_Military_History_Museum-Hanoi.html,Bảo tàng Lịch sử Quân sự Việt Nam,3.9,1768,"[{""id"":11064,""name"":""Viện bảo tàng quân đội""}]",455005,Hà Nội,Hà Nội,"21.009326899999998, 105.7538922","Km6+500, CT03, Xuân Phương, Hà Nội, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g293924-d311077-Reviews-Hanoi_Opera_House-Hanoi.html,Nhà Hát Lớn Hà Nội,4.1,1369,"[{""id"":11128,""name"":""Rạp hát""}]",311077,Hà Nội,Hà Nội,"21.0242438, 105.85762539999999","1 Tràng Tiền, Phan Chu Trinh, Hoàn Kiếm, Hà Nội, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g293924-d2067946-Reviews-Chua_Tran_Quoc-Hanoi.html,Chùa Trấn Quốc,4.2,1192,"[{""id"":11045,""name"":""Địa điểm tôn giáo""}]",2067946,Hà Nội,Hà Nội,"21.047871, 105.83687379999999","Thanh Niên, Yên Phụ, Tây Hồ, Hà Nội, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15190048-Reviews-Du_ng_Tau-Hanoi.html,Phố đường tàu Hà Nội,4.1,1050,"[{""id"":11160,""name"":""Điểm thu hút khách tham quan & thắng cảnh""}]",15190048,Hà Nội,Hà Nội,"21.031756099951625, 105.84408146429887","P. Trần Phú, Hàng Bông, Hoàn Kiếm, Hà Nội 100000, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g293924-d1177507-Reviews-Night_Market-Hanoi.html,Chợ Đêm Phố Cổ Hà Nội,3.5,844,"[{""id"":11154,""name"":""Chợ trời & chợ đường phố""}]",1177507,Hà Nội,Hà Nội,"21.032947999999998, 105.851312","71 P. Hàng Đào, Hàng Đào, Hoàn Kiếm, Hà Nội, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g293924-d7987859-Reviews-Lotte_Observation_Deck-Hanoi.html,Đài Quan Sát Lotte,4.4,339,"[{""id"":11068,""name"":""Đài & tháp quan sát""},{""id"":11069,""name"":""Đài quan sát & cung thiên văn""}]",7987859,Hà Nội,Hà Nội,"21.0321022, 105.8126712","54 P. Liễu Giai, Ngọc Khánh, Ba Đình, Hà Nội 100000, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g737051-d386683-Reviews-Cat_Ba_Island-Cat_Ba_Hai_Phong.html,Đảo Cát Bà,4.2,1363,"[{""id"":11090,""name"":""Công viên quốc gia""},{""id"":11053,""name"":""Quần đảo""}]",386683,Hải Phòng,Hải Phòng,"20.7909692, 106.9948945","Hải Phòng, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g737051-d5979069-Reviews-Monkey_Island-Cat_Ba_Hai_Phong.html,Đảo Cát Dứa,3.4,1001,"[{""id"":11053,""name"":""Quần đảo""},{""id"":11091,""name"":""Khu vực tự nhiên & động vật hoang dã""}]",5979069,Hải Phòng,Hải Phòng,"20.7279523, 107.0794128","tt. Cát Bà, Hải Phòng, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g737051-d6974768-Reviews-Lan_Ha_Bay-Cat_Ba_Hai_Phong.html,Vịnh Lan Hạ,4.7,1052,"[{""id"":11159,""name"":""Vùng nước""}]",6974768,Hải Phòng,Hải Phòng,"20.723720699999998, 107.0465615",Việt Nam
https://www.tripadvisor.com.vn/Attraction_Review-g737051-d2041902-Reviews-Hospital_Cave-Cat_Ba_Hai_Phong.html,Hang Quân y,3.8,665,"[{""id"":11078,""name"":""Hang lớn & động""}]",2041902,Hải Phòng,Hải Phòng,"20.7698879, 107.0207727","Trân Châu, Cát Hải, Hải Phòng, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g737051-d6677777-Reviews-Cat_Ba_National_Park-Cat_Ba_Hai_Phong.html,Vườn Quốc Gia Cát Bà,4.3,516,"[{""id"":11090,""name"":""Công viên quốc gia""}]",6677777,Hải Phòng,Hải Phòng,"20.793532, 106.9901234","Cát Hải, Hải Phòng, Việt Nam"
https://www.tripadvisor.com.vn/Attraction_Review-g303944-d7356997-Reviews-Do_Son_Beach-Hai_Phong.html,Bãi biển Đồ Sơn,3.3,75,"[{""id"":11076,""name"":""Bãi biển""}]",7356997,Hải Phòng,Hải Phòng,"20.6872771, 106.7954793","Khu du lịch Đồ Sơn, Vạn Hương, Đồ Sơn, Hải Phòng, Việt Nam"
